Id,GP,G,A,P_M,PIM,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,TOI_GP,DOB,First_Season,Ht,Wt,DZ_FOL,DZ_FOW,EV_FOL,EV_FOW,FOL,FOW,NZ_FOL,NZ_FOW,OZ_FO,OZ_FOL,OZ_FOW,PP_FOL,PP_FOW,SH_FOL,SH_FOW,G_Msct,Major,Match,Minor,Msct,Net_Pen,Net_Pen_60,PIMGP,PIMTOIPct,Pen_Drawn,Pen_Drawn_60,Pen_Taken,Pen_Taken_60,Salary
10,31,2,0,4,12,2,2,0,0,0,0,0,0,20,14.4166666666667,1995-04-28,20182019,71,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0.27,0:23,2.7,8,1.07,6,0.81,83333.33333333333
11,50,4,12,17,30,4,16,0,0,0,0,0,0,78,17.1,1997-01-25,20182019,77,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,-8,-0.56,0:36,3.5,6,0.42,14,0.98,108333.33333333333
12,8,0,0,-1,2,0,0,0,0,0,0,0,0,4,6.71666666666667,1990-02-01,20132014,73,195,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1.12,0:15,3.7,0,0.0,1,1.12,58333.333333333336
13,5,0,1,3,0,0,1,0,0,0,0,0,0,10,14.3666666666667,1996-04-27,20192020,76,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.67,0:00,0.0,2,1.67,0,0.0,65625.0
14,32,3,1,1,8,2,3,1,1,0,0,0,1,40,18.15,1985-04-20,20052006,75,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,-3,-0.31,0:15,1.4,1,0.1,4,0.41,416666.6666666667
15,29,2,5,-2,5,2,7,0,0,0,0,0,0,29,10.6166666666667,1997-05-23,20192020,73,182,3,0,5,0,5,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,4,0.78,0:10,1.6,5,0.97,1,0.19,58333.333333333336
16,63,8,12,11,12,8,20,0,0,0,0,0,1,76,12.05,1991-11-01,20132014,74,200,0,0,11,5,13,5,4,5,9,9,0,0,0,2,0,0,0,0,6,0,5,0.4,0:11,1.6,11,0.87,6,0.47,108333.33333333333
17,23,3,7,-12,13,2,4,1,6,0,0,0,0,32,15.5666666666667,1998-04-27,20182019,73,204,0,0,3,4,3,4,1,2,4,2,2,0,0,0,0,0,1,0,4,0,0,0.0,0:33,3.6,5,0.84,5,0.84,58333.333333333336
18,68,13,17,9,34,10,27,0,0,3,3,0,1,129,13.7166666666667,1996-04-01,20172018,74,198,2,5,20,18,20,18,2,2,27,16,11,0,0,0,0,0,0,0,17,0,-6,-0.39,0:30,3.7,11,0.71,17,1.09,179166.66666666666
19,69,35,58,13,12,23,62,12,31,0,0,2,4,318,21.2166666666667,1995-09-01,20132014,72,200,149,111,434,339,478,362,193,141,246,136,110,40,22,4,1,0,0,0,5,0,18,0.74,0:10,0.8,23,0.94,5,0.2,512500.0
20,45,6,10,0,6,5,14,1,2,0,0,0,2,60,12.6833333333333,1998-07-20,20182019,71,187,1,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0.53,0:08,1.1,8,0.84,3,0.32,66666.66666666667
21,64,10,18,8,16,7,22,3,5,0,1,1,1,162,23.0,1993-05-12,20152016,78,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0.0,0:15,1.1,8,0.33,8,0.33,279166.6666666667
22,68,21,23,-3,93,15,35,5,7,1,2,1,5,154,18.2666666666667,1994-03-29,20132014,76,220,14,6,23,11,39,18,9,5,23,16,7,7,2,9,5,0,5,0,29,1,-5,-0.24,1:22,7.5,30,1.45,35,1.69,508333.3333333333
23,55,25,49,7,58,18,50,7,24,0,0,0,5,171,19.5166666666667,1986-07-31,20062007,75,195,97,95,396,393,435,441,156,146,382,182,200,39,48,0,0,0,0,0,29,0,-7,-0.39,1:03,5.4,22,1.23,29,1.62,791666.6666666666
24,66,19,21,5,8,15,31,4,9,0,0,0,2,151,14.9,1989-05-04,20092010,75,217,3,2,15,7,15,8,2,3,13,10,3,0,1,0,0,0,0,0,4,0,3,0.18,0:07,0.8,7,0.43,4,0.24,583333.3333333334
25,66,20,7,2,21,19,26,0,0,1,1,0,5,108,15.9666666666667,1991-12-01,20152016,70,209,256,253,286,292,413,381,99,82,104,58,46,4,1,123,88,0,1,0,8,0,9,0.51,0:19,2.0,18,1.02,9,0.51,125000.0
26,14,1,4,-3,7,1,5,0,0,0,0,0,0,15,9.8,1992-04-20,20142015,73,217,0,1,0,2,0,2,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0.0,0:30,5.1,2,0.88,2,0.88,250000.0
27,43,16,22,-7,34,10,29,6,9,0,0,0,3,137,18.9,1994-09-16,20152016,77,234,1,1,16,16,22,16,5,2,29,16,13,6,0,0,0,0,0,0,17,0,-3,-0.22,0:47,4.2,14,1.03,17,1.26,78448.5
28,3,0,0,-4,0,0,0,0,0,0,0,0,0,0,12.9666666666667,2001-04-06,20192020,72,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0:00,0.0,0,0.0,0,0.0,77083.33333333333
29,3,0,0,-2,2,0,0,0,0,0,0,0,0,3,12.7666666666667,1998-07-17,20192020,74,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1.57,0:40,5.2,0,0.0,1,1.57,58333.333333333336
30,70,28,59,25,82,22,56,5,28,1,3,0,5,185,19.45,1988-05-11,20092010,69,181,5,5,22,20,29,22,6,6,29,18,11,5,2,2,0,0,2,0,30,1,12,0.53,1:10,6.0,45,1.98,33,1.45,416666.6666666667
31,70,22,26,-16,25,14,32,8,16,0,0,1,5,166,18.1,1994-10-12,20132014,74,200,109,115,420,459,495,549,146,173,501,240,261,73,88,2,2,0,1,0,10,0,1,0.05,0:21,2.0,12,0.5700000000000001,11,0.52,500000.0
32,69,27,45,11,47,18,45,9,25,0,2,1,3,165,20.1,1993-03-14,20122013,73,218,77,96,265,376,293,425,85,115,345,131,214,9,31,19,18,1,1,0,16,0,-4,-0.17,0:40,3.4,14,0.61,18,0.78,375000.0
33,29,1,2,-4,6,1,2,0,0,0,1,0,0,36,10.8333333333333,1997-12-03,20192020,71,189,37,25,53,32,65,49,13,15,24,15,9,0,1,12,16,0,0,0,3,0,0,0.0,0:12,1.9,3,0.5700000000000001,3,0.5700000000000001,77083.33333333333
34,27,1,6,0,22,1,6,0,0,0,1,0,0,29,16.6333333333333,1990-07-15,20082009,74,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,-5,-0.67,0:48,4.9,2,0.27,7,0.94,83333.33333333333
35,61,13,30,14,23,10,29,3,14,0,0,1,3,83,17.1666666666667,1986-04-28,20062007,72,188,107,91,342,330,366,371,113,122,304,146,158,20,38,4,3,0,1,0,8,0,-1,-0.06,0:22,2.2,8,0.46,9,0.52,583333.3333333334
36,61,7,16,-12,39,6,19,1,4,0,0,0,0,83,15.7,1997-01-30,20162017,73,197,92,73,263,241,305,275,87,82,246,126,120,39,31,3,3,0,1,0,15,0,-4,-0.25,0:38,4.1,12,0.75,16,1.0,333333.3333333333
37,69,5,40,0,20,3,24,2,21,0,0,0,0,129,19.7,1986-09-09,20062007,73,192,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,10,0,-5,-0.22,0:17,1.5,5,0.22,10,0.44,479166.6666666667
38,65,15,21,8,33,12,28,3,8,0,0,0,2,185,24.0,1985-08-14,20052006,76,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,-4,-0.15,0:30,2.1,11,0.42,15,0.58,500000.0
39,64,16,20,-6,20,11,27,5,9,0,0,0,3,88,14.1666666666667,1999-01-15,20172018,74,189,9,2,30,12,35,13,12,5,20,14,6,4,1,1,0,0,0,0,10,0,9,0.6000000000000001,0:18,2.2,19,1.26,10,0.66,69375.0
40,13,0,3,-2,6,0,2,0,0,0,1,0,0,5,10.5166666666667,1996-04-02,20172018,75,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-2,-0.88,0:27,4.4,0,0.0,2,0.88,62500.0
41,66,21,11,0,56,17,25,1,3,3,4,0,2,200,16.7166666666667,1991-11-28,20162017,71,207,59,22,52,28,102,47,18,11,39,25,14,3,2,47,17,0,0,0,23,1,-4,-0.22,0:50,5.1,20,1.09,24,1.31,150000.0
42,68,38,28,10,26,26,44,8,17,4,5,0,5,206,19.4166666666667,1997-07-26,20162017,72,176,112,97,407,346,480,409,158,115,407,210,197,61,53,12,10,0,0,0,13,0,2,0.09,0:22,2.0,15,0.68,13,0.59,58333.333333333336
43,26,1,3,-8,17,1,4,0,0,0,0,0,0,63,16.0666666666667,1994-05-07,20142015,75,226,4,3,10,5,12,7,2,1,9,6,3,1,0,1,2,0,1,0,6,0,0,0.0,0:39,4.1,7,1.01,7,1.01,333333.3333333333
44,56,5,2,-12,14,5,7,0,0,0,0,0,0,38,11.1,1994-09-13,20162017,76,212,108,80,188,160,235,190,68,64,105,59,46,3,2,44,28,0,0,0,7,0,-4,-0.39,0:15,2.3,3,0.29,7,0.68,58333.333333333336
45,66,17,18,-1,22,16,30,1,5,0,0,0,1,169,18.4,1984-11-04,20032004,72,210,5,6,7,6,9,7,2,0,3,2,1,0,0,2,1,0,0,0,11,0,4,0.2,0:20,1.8,15,0.74,11,0.54,333333.3333333333
46,52,2,9,5,16,2,11,0,0,0,0,0,0,46,17.65,1987-01-13,20072008,76,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,-3,-0.2,0:18,1.7000000000000002,5,0.33,8,0.52,350000.0
47,55,4,6,-12,6,3,8,0,0,1,2,0,0,77,11.0833333333333,1993-01-10,20142015,71,189,21,3,39,9,42,11,12,4,13,9,4,0,0,3,2,0,0,0,3,0,8,0.79,0:06,1.0,11,1.08,3,0.30000000000000004,58333.333333333336
48,71,13,34,18,32,12,43,1,4,0,0,0,1,131,18.85,1993-02-24,20142015,73,200,258,267,457,572,608,728,192,251,368,158,210,27,53,124,103,0,0,0,16,0,0,0.0,0:27,2.4,16,0.72,16,0.72,270833.3333333333
49,35,2,4,-6,33,2,6,0,0,0,0,0,0,29,7.01666666666667,1992-07-30,20192020,75,208,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,9,1,-4,-0.98,0:56,13.4,7,1.71,11,2.69,58333.333333333336
50,20,0,1,-5,4,0,1,0,0,0,0,0,0,22,17.8166666666667,1992-03-04,20152016,76,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-2,-0.34,0:12,1.1,0,0.0,2,0.34,83333.33333333333
51,68,30,16,2,16,26,38,4,8,0,0,0,3,157,14.3666666666667,1995-08-21,20192020,74,179,2,1,12,5,13,6,5,1,10,6,4,1,1,0,0,0,0,0,8,0,0,0.0,0:14,1.6,8,0.49,8,0.49,283333.3333333333
52,38,1,10,0,32,0,7,1,4,0,0,0,0,54,16.0833333333333,1998-12-05,20192020,78,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,-5,-0.49,0:50,5.2,7,0.69,12,1.18,69375.0
53,6,1,1,1,2,1,2,0,0,0,0,0,0,8,11.6333333333333,1992-04-24,20142015,71,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-0.86,0:20,2.9,0,0.0,1,0.86,58333.333333333336
54,70,18,31,-2,49,17,39,1,10,0,0,2,4,158,17.9333333333333,1998-06-24,20172018,74,205,104,80,431,339,446,359,160,124,337,182,155,14,16,1,4,0,1,0,22,0,4,0.19,0:42,3.9,27,1.29,23,1.1,252691.25
55,58,16,24,1,12,12,29,4,11,0,0,0,1,136,17.8166666666667,1990-05-15,20102011,71,187,1,1,6,3,6,3,4,1,2,1,1,0,0,0,0,0,0,0,6,0,6,0.35,0:12,1.2,12,0.7,6,0.35,395833.3333333333
56,69,3,12,-6,28,2,12,0,0,1,3,0,0,80,14.0666666666667,1991-01-18,20152016,72,200,175,134,257,221,347,263,92,83,126,80,46,5,2,85,40,0,0,0,9,1,2,0.12,0:24,2.9,12,0.74,10,0.62,83333.33333333333
57,16,0,1,3,4,0,1,0,0,0,0,0,0,9,14.3166666666667,1996-11-28,20172018,74,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-0.26,0:15,1.8,0,0.0,1,0.26,58333.333333333336
58,68,26,23,19,20,18,36,8,13,0,0,0,7,130,17.9333333333333,1989-09-14,20122013,73,199,5,4,9,3,14,5,6,1,3,3,0,0,0,5,2,0,0,0,10,0,1,0.05,0:17,1.6,11,0.54,10,0.49,370833.3333333333
59,70,29,25,-8,22,21,35,8,19,0,0,1,7,169,19.7166666666667,1994-12-02,20132014,73,195,179,177,295,293,406,395,103,98,244,124,120,39,45,72,57,0,0,0,11,0,2,0.09,0:18,1.6,13,0.5700000000000001,11,0.48,320833.3333333333
60,36,7,8,1,19,5,12,2,3,0,0,0,1,48,11.2833333333333,1996-05-10,20182019,71,187,0,0,1,1,2,1,0,0,3,2,1,0,0,1,0,0,1,0,7,0,3,0.44,0:31,4.7,11,1.62,8,1.18,77083.33333333333
61,69,21,32,7,28,13,31,7,20,1,2,0,6,197,18.9833333333333,1988-01-12,20072008,71,185,176,338,337,485,460,663,96,112,401,188,213,71,100,52,78,0,0,0,14,0,3,0.14,0:24,2.1,17,0.78,14,0.64,600000.0
62,58,6,26,-10,22,4,15,2,17,0,0,0,0,120,22.1666666666667,1992-08-14,20142015,75,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,-2,-0.09,0:22,1.7000000000000002,9,0.42,11,0.51,500000.0
63,68,28,35,8,22,20,47,8,16,0,0,0,1,226,19.4166666666667,1998-04-19,20162017,77,210,1,1,15,10,17,10,7,4,14,9,5,2,0,0,0,0,0,0,11,0,1,0.05,0:19,1.7000000000000002,12,0.55,11,0.5,565731.25
64,14,0,1,-3,2,0,1,0,0,0,0,0,0,14,8.53333333333333,1991-05-17,20142015,73,203,2,3,4,4,4,4,1,1,1,1,0,0,0,0,0,0,0,0,1,0,-1,-0.5,0:08,1.7000000000000002,0,0.0,1,0.5,62500.0
65,70,5,10,-10,10,4,14,0,0,1,1,0,1,74,20.3,1987-03-30,20062007,73,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,-1,-0.04,0:08,0.7,3,0.13,4,0.17,604166.6666666666
66,43,4,5,-1,10,4,8,0,1,0,0,0,1,38,14.1333333333333,1997-06-06,20182019,73,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0.2,0:13,1.7000000000000002,7,0.69,5,0.49,66666.66666666667
67,45,6,4,-8,14,5,9,1,1,0,0,0,1,75,11.2833333333333,1993-07-28,20152016,71,184,66,55,120,104,137,120,30,28,78,41,37,1,4,16,12,0,0,0,7,0,5,0.59,0:18,2.8,12,1.42,7,0.83,58333.333333333336
68,50,7,5,10,12,7,12,0,0,0,0,0,3,69,10.95,1995-06-14,20172018,74,200,1,0,7,4,7,4,2,1,7,4,3,0,0,0,0,0,0,0,6,0,1,0.11,0:14,2.2,7,0.77,6,0.66,81250.0
69,66,11,44,27,31,7,33,4,22,0,0,0,3,155,24.0666666666667,1990-12-18,20092010,78,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,-5,-0.19,0:28,2.0,9,0.34,14,0.53,666666.6666666666
70,4,0,1,0,0,0,1,0,0,0,0,0,0,3,8.08333333333333,1995-06-18,20192020,76,209,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.86,0:00,0.0,1,1.86,0,0.0,66666.66666666667
71,51,3,13,-4,23,3,12,0,4,0,0,0,0,75,21.5,1987-07-26,20092010,73,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,-1,-0.05,0:27,2.1,9,0.49,10,0.55,333333.3333333333
72,64,26,21,-12,122,10,27,14,18,2,2,0,6,216,19.5333333333333,1991-08-02,20092010,74,210,16,21,56,62,95,106,18,29,117,61,56,35,36,4,8,1,4,0,30,3,-20,-0.96,1:54,9.8,18,0.86,38,1.82,500000.0
73,64,5,6,-7,38,4,10,1,1,0,0,0,0,92,19.0333333333333,1998-06-20,20182019,72,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,-3,-0.15,0:35,3.1,16,0.79,19,0.94,77083.33333333333
74,65,9,22,-38,46,8,21,1,10,0,0,0,0,125,23.9,1997-11-02,20182019,72,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,1,-2,-0.08,0:42,3.0,14,0.54,16,0.62,58333.333333333336
75,10,1,3,7,4,1,4,0,0,0,0,0,0,17,19.2166666666667,1994-01-05,20172018,72,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-2,-0.62,0:24,2.1,0,0.0,2,0.62,58333.333333333336
76,70,47,33,19,8,35,55,12,25,0,0,0,5,290,20.9666666666667,1997-09-17,20162017,75,220,107,99,395,484,414,506,155,183,376,152,224,18,20,1,2,0,0,0,4,0,10,0.41,0:06,0.6000000000000001,14,0.5700000000000001,4,0.16,1325833.3333333333
77,70,16,36,11,20,10,29,6,22,0,1,0,3,225,24.1833333333333,1990-01-18,20082009,75,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0.0,0:17,1.2,10,0.35,10,0.35,416666.6666666667
78,61,7,5,-4,10,7,12,0,0,0,0,0,0,42,9.38333333333333,1995-04-26,20152016,77,239,110,130,110,152,172,208,38,57,45,24,21,0,1,62,55,0,0,0,5,0,3,0.31,0:09,1.8,8,0.84,5,0.52,58333.333333333336
79,47,5,18,-12,22,4,12,1,10,0,1,0,0,95,21.75,1991-06-03,20122013,70,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,-3,-0.18,0:28,2.2,7,0.41,10,0.59,37355.5
80,67,4,15,16,33,4,19,0,0,0,0,0,0,111,20.4833333333333,1996-11-26,20162017,77,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,-1,-0.04,0:29,2.4,10,0.44,11,0.48,291666.6666666667
81,64,15,19,4,14,11,23,2,9,2,2,0,1,136,15.9333333333333,1991-09-25,20132014,71,186,8,5,27,25,37,33,8,10,39,21,18,3,2,7,6,0,0,0,7,0,6,0.35,0:13,1.4,13,0.76,7,0.41,183333.33333333334
82,20,0,3,-2,6,0,3,0,0,0,0,0,0,14,12.15,1990-04-23,20122013,74,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0.25,0:18,2.5,4,0.99,3,0.74,58333.333333333336
83,42,2,4,12,21,2,6,0,0,0,0,0,1,36,13.1166666666667,1989-03-18,20112012,76,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,-1,-0.11,0:30,3.8,7,0.76,8,0.87,114583.33333333333
84,7,0,3,1,0,0,3,0,0,0,0,0,0,2,7.85,1996-05-06,20192020,70,185,1,0,5,4,5,5,2,2,5,2,3,0,1,0,0,0,0,0,0,0,1,1.09,0:00,0.0,1,1.09,0,0.0,58333.333333333336
85,56,0,7,-1,12,0,7,0,0,0,0,0,0,101,17.1333333333333,1994-01-06,20142015,73,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,-2,-0.13,0:12,1.3,4,0.25,6,0.38,116666.66666666667
86,69,4,11,-6,32,3,13,1,2,0,0,0,0,78,17.2166666666667,1999-06-17,20182019,72,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,-14,-0.71,0:27,2.7,2,0.1,16,0.81,77083.33333333333
87,68,16,30,2,24,12,37,4,9,0,0,0,1,148,16.9333333333333,1995-04-17,20162017,75,197,1,1,18,4,19,4,6,1,14,12,2,1,0,0,0,0,0,0,12,0,6,0.31,0:21,2.1,18,0.94,12,0.63,291666.6666666667
88,71,9,14,15,27,5,13,4,10,0,0,0,1,138,16.2666666666667,1996-10-29,20172018,72,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0.0,0:22,2.3,12,0.62,12,0.62,156250.0
89,58,21,12,2,16,18,30,1,1,2,2,0,5,140,16.75,1992-10-27,20112012,73,206,7,4,28,18,35,23,9,7,31,19,12,4,5,3,0,0,0,0,8,0,3,0.19,0:16,1.7000000000000002,11,0.68,8,0.49,541666.6666666666
90,2,0,0,-1,0,0,0,0,0,0,0,0,0,1,6.43333333333333,1998-02-11,20182019,74,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0:00,0.0,0,0.0,0,0.0,77083.33333333333
91,68,7,11,-21,79,5,12,2,6,0,0,0,3,151,22.1166666666667,1989-05-13,20092010,72,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27,2,-17,-0.68,1:09,5.3,13,0.52,30,1.2,666666.6666666666
92,33,1,6,6,14,1,7,0,0,0,0,0,0,43,15.55,1990-07-29,20172018,75,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,-5,-0.58,0:25,2.7,2,0.23,7,0.82,75000.0
93,11,0,1,-5,2,0,1,0,0,0,0,0,0,2,10.3,1999-04-30,20192020,72,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-0.53,0:10,1.8,0,0.0,1,0.53,69375.0
94,48,2,7,-13,14,2,9,0,0,0,0,0,0,40,17.1833333333333,1992-09-20,20182019,71,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,-2,-0.15,0:17,1.7000000000000002,5,0.36,7,0.51,204166.66666666666
95,69,12,44,14,31,8,39,4,17,0,0,1,3,132,17.05,1989-08-15,20082009,74,214,2,0,13,5,13,7,5,1,12,6,6,0,2,0,0,0,1,0,13,0,4,0.2,0:26,2.6,18,0.92,14,0.71,520833.3333333333
96,68,8,12,-6,54,3,12,5,8,0,0,0,1,83,13.3333333333333,1988-06-07,20072008,75,231,2,5,24,20,26,20,9,3,27,15,12,2,0,0,0,0,4,0,12,1,-2,-0.13,0:47,6.0,15,0.99,17,1.13,270833.3333333333
97,68,0,8,1,13,0,7,0,1,0,0,0,0,61,17.8166666666667,1990-09-21,20162017,73,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,4,0.2,0:11,1.1,9,0.45,5,0.25,166666.66666666666
98,49,8,30,16,19,6,29,2,9,0,0,2,3,114,23.5,1991-01-03,20112012,70,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,4,0.21,0:23,1.7000000000000002,12,0.63,8,0.42,441666.6666666667
99,52,8,4,-1,36,8,11,0,1,0,0,0,0,82,12.5166666666667,1996-06-20,20142015,73,195,21,22,74,81,83,89,27,30,72,35,37,9,8,0,0,0,0,0,18,0,-9,-0.83,0:41,5.5,9,0.83,18,1.66,47629.833333333336
100,68,11,12,-19,57,11,23,0,0,0,0,0,1,141,13.2333333333333,1995-09-13,20152016,74,195,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,24,0,5,0.33,0:50,6.3,30,2.0,25,1.67,208333.33333333334
101,69,23,18,-6,34,15,30,4,7,4,4,2,5,175,17.7333333333333,1992-05-08,20142015,77,216,137,142,334,350,411,415,134,137,276,140,136,34,39,43,26,0,0,0,17,0,-7,-0.34,0:29,2.8,10,0.49,17,0.83,625000.0
102,21,1,2,-8,38,1,3,0,0,0,0,0,0,12,15.7,1996-10-30,20182019,74,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,-1,-0.18,1:48,11.5,8,1.46,9,1.64,77083.33333333333
103,28,1,7,-7,10,1,6,0,2,0,0,0,1,22,14.3166666666667,2000-03-07,20192020,71,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,-1,-0.15,0:21,2.5,4,0.6000000000000001,5,0.75,77083.33333333333
104,45,7,11,6,33,7,18,0,0,0,0,0,1,77,20.1166666666667,1994-01-07,20162017,72,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,-3,-0.2,0:44,3.7,9,0.6000000000000001,12,0.8,166666.66666666666
